entity,degree,eigenvector,betweenness,closeness
Chicha's,0.1232876712328767,0.01275500452918491,0.0,0.5289855072463768
Qutb Shahi Tombs,0.7671232876712328,0.15029273312812824,0.005536898880749109,0.8111111111111111
Ram Ki Bandi,0.4246575342465753,0.07757085565575413,0.0027573122648298382,0.6347826086956522
City Museum,0.6027397260273972,0.12264989514621731,0.0018751192371488387,0.7156862745098039
Paya,0.0273972602739726,0.0048330430303485305,0.0,0.503448275862069
Cafe Bahar,0.1232876712328767,0.01275500452918491,0.0,0.5289855072463768
Nizam Museum,0.6027397260273972,0.12264989514621731,0.0018751192371488387,0.7156862745098039
Toli Masjid,0.4931506849315068,0.09551582185306844,0.0018120914219870456,0.6636363636363637
Osman Sagar,0.7123287671232876,0.14182590950855745,0.005026395318869588,0.776595744680851
Paigah Tombs,0.7397260273972602,0.1410355470071801,0.007054535125808276,0.7934782608695652
Durgam Cheruvu,0.5890410958904109,0.11697577445820691,0.004926299735005349,0.7087378640776699
Birla Mandir,0.6712328767123288,0.1340350400572368,0.004899131984131046,0.7525773195876289
Shilparamam,0.6438356164383561,0.12621143985648814,0.004267285587478691,0.7373737373737373
Jalavihar Water Park,0.136986301369863,0.029236972868052817,0.0,0.5140845070422535
Snow World,0.5342465753424657,0.11165631968711211,0.00155167781020665,0.6822429906542056
Lumbini Park,0.7123287671232876,0.14182590950855745,0.005026395318869588,0.776595744680851
Moazzam Jahi Market,0.7671232876712328,0.15029273312812824,0.005536898880749109,0.8111111111111111
Hyderabadi Biryani,0.9863013698630136,0.1635872354135154,0.08789494651632414,0.9864864864864865
Mahavir Harina Vanasthali,0.4794520547945205,0.10202713994863301,0.0,0.6576576576576577
Mrugavani National Park,0.4794520547945205,0.10202713994863301,0.0,0.6576576576576577
Mount Opera,0.5068493150684932,0.10882729915124725,0.0,0.6697247706422018
Over The Moon,0.3287671232876712,0.06542820852641212,0.0,0.5983606557377049
Hotel Shadab,0.1232876712328767,0.01275500452918491,0.0,0.5289855072463768
Gil-e-Firdaus,0.3835616438356164,0.08307895713096838,0.0,0.6186440677966102
Nihari,0.4794520547945205,0.10202713994863301,0.0,0.6576576576576577
Purani Haveli,0.9041095890410958,0.16216760071707426,0.019528433667315135,0.9125
Lassi,0.821917808219178,0.15394059533707502,0.012983302543241948,0.8488372093023255
Ocean Park,0.5068493150684932,0.10882729915124725,0.0,0.6697247706422018
Lukhmi,0.410958904109589,0.0856715038259663,0.0022066663894722465,0.6293103448275862
Osmania Biscuit,0.4520547945205479,0.08914335080111586,0.0027005505762702515,0.6460176991150443
Botanical Garden,0.6986301369863013,0.14122192728997734,0.003094715324023688,0.7684210526315789
Falaknuma Palace,0.8630136986301369,0.16012226061393645,0.012010839220496946,0.8795180722891566
Hussain Sagar Lake,0.7123287671232876,0.14182590950855745,0.005026395318869588,0.776595744680851
