entity,degree,eigenvector,betweenness,closeness
Chicha's,0.14285714285714285,0.26172449061887415,0.0,0.2611607142857143
Qutb Shahi Tombs,0.07142857142857142,0.06060758148646428,0.0019542362399505267,0.27435064935064934
City Museum,0.03571428571428571,0.02614592243449012,0.0,0.2089285714285714
Cafe Bahar,0.14285714285714285,0.26172449061887415,0.0,0.2611607142857143
Nizam Museum,0.125,0.10775712643563694,0.011533704390847246,0.28894376899696045
Toli Masjid,0.125,0.09978394516959477,0.0017748917748917749,0.2538384512683578
Osman Sagar,0.017857142857142856,2.221450484552316e-92,0.0,0.017857142857142856
Paigah Tombs,0.125,0.09748002150659309,0.015445269016697585,0.26369625520110956
Shilparamam,0.017857142857142856,0.012924302449233665,0.0,0.2089285714285714
Snow World,0.017857142857142856,2.221450484552316e-92,0.0,0.017857142857142856
Lumbini Park,0.03571428571428571,8.767289569801498e-69,0.0,0.03571428571428571
Moazzam Jahi Market,0.08928571428571427,0.03861447121682152,0.08057977736549166,0.2920506912442396
Hyderabadi Biryani,0.14285714285714285,0.19630778559683967,0.041258503401360544,0.3353174603174603
Mahavir Harina Vanasthali,0.017857142857142856,2.221450484552316e-92,0.0,0.017857142857142856
Mrugavani National Park,0.017857142857142856,2.221450484552316e-92,0.0,0.017857142857142856
Hotel Shadab,0.14285714285714285,0.26172449061887415,0.0,0.2611607142857143
Gil-e-Firdaus,0.03571428571428571,8.767289569801498e-69,0.0,0.03571428571428571
Nihari,0.03571428571428571,8.767289569801498e-69,0.0,0.03571428571428571
Purani Haveli,0.17857142857142855,0.14309804534616177,0.04875,0.312192118226601
Lassi,0.03571428571428571,0.028988988490935723,0.0,0.25148809523809523
Lukhmi,0.03571428571428571,8.767289569801498e-69,0.0,0.03571428571428571
Osmania Biscuit,0.017857142857142856,0.012244465158130826,0.0,0.2089285714285714
Botanical Garden,0.017857142857142856,2.221450484552316e-92,0.0,0.017857142857142856
Falaknuma Palace,0.19642857142857142,0.1640768442698566,0.014840754483611624,0.312192118226601
Hussain Sagar Lake,0.017857142857142856,2.221450484552316e-92,0.0,0.017857142857142856
Qubani ka Meetha,0.03571428571428571,8.767289569801498e-69,0.0,0.03571428571428571
Double ka Meetha,0.03571428571428571,8.767289569801498e-69,0.0,0.03571428571428571
Taramati Baradari,0.1607142857142857,0.12997385975230624,0.009621985157699445,0.298469387755102
Sheermal,0.017857142857142856,0.005393235542413587,0.0,0.18603228962818005
Salar Jung Museum,0.14285714285714285,0.11568460417825946,0.013466295609152752,0.2920506912442396
Mecca Masjid,0.19642857142857142,0.1640768442698566,0.014840754483611624,0.312192118226601
Mirchi ka Salan,0.07142857142857142,0.08533310016342649,0.0,0.26628151260504196
Dalcha,0.05357142857142857,0.04609164055666595,0.024675324675324677,0.25148809523809523
Spanish Mosque,0.10714285714285714,0.09343491719311496,0.0,0.25148809523809523
Khubani ka Meetha,0.07142857142857142,0.08533310016342649,0.0,0.26628151260504196
Dum Pukht,0.03571428571428571,0.04552667889526146,0.0,0.2491808650065531
Himayat Sagar,0.017857142857142856,2.221450484552316e-92,0.0,0.017857142857142856
Irani Chai,0.125,0.10464294562771181,0.05006493506493506,0.2952251552795031
Shadab,0.1607142857142857,0.2822885170032616,0.0008116883116883117,0.26369625520110956
Sanjeevaiah Park,0.03571428571428571,8.767289569801498e-69,0.0,0.03571428571428571
Golconda Fort,0.08928571428571427,0.07567538826242384,0.001250773036487322,0.2800073637702504
Charminar,0.25,0.21251752701226342,0.2461618738404453,0.40538379530916846
Sarvi,0.14285714285714285,0.26172449061887415,0.0,0.2611607142857143
Shah Ghouse,0.1607142857142857,0.2822885170032616,0.0008116883116883117,0.26369625520110956
NTR Gardens,0.03571428571428571,8.767289569801498e-69,0.0,0.03571428571428571
Pista House,0.1607142857142857,0.2822885170032616,0.0008116883116883117,0.26369625520110956
Lamakaan,0.017857142857142856,0.0006713518799236654,0.0,0.1646103896103896
Chowmahalla Palace,0.14285714285714285,0.12793607251553954,0.004372294372294372,0.30178571428571427
Khatti Dal,0.03571428571428571,8.767289569801498e-69,0.0,0.03571428571428571
Shamirpet Lake,0.017857142857142856,2.221450484552316e-92,0.0,0.017857142857142856
Ravindra Bharathi,0.05357142857142857,0.0057373475170777385,0.024675324675324677,0.2138638920134983
Haleem,0.26785714285714285,0.3429880805795262,0.19986239950525658,0.3720645792563601
Moula Ali Dargah,0.017857142857142856,0.004518439283891746,0.0,0.20733369683751363
Begum Bazaar,0.05357142857142857,0.009745394872674529,0.0033279220779220777,0.21728571428571428
Laad Bazaar,0.14285714285714285,0.11045045010360131,0.02837816944959802,0.2952251552795031
Grand Hotel,0.14285714285714285,0.2617244906188741,0.0,0.2611607142857143
Bidri,0.05357142857142857,0.038932100606062676,0.012028447742733456,0.27435064935064934
